id,catalogNumber,scientificName,longitude,latitude,scientificNameOriginal,rank,family,genus,species,subspecies,locality,coordinateUncertaintyInMetres,state,year,basisOfRecord,outlierForLayer,taxonIdentificationIssue,locationQuality,dataProvider
NA,SJJSI0663152,Calotis glandulosa,148.66214,-35.86927,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663173,Calotis glandulosa,148.6624,-35.63017,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663172,Calotis glandulosa,148.66251,-35.63096,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663171,Calotis glandulosa,148.66251,-35.63072,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663170,Calotis glandulosa,148.66269,-35.63074,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663169,Calotis glandulosa,148.66274,-35.63073,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663168,Calotis glandulosa,148.66322,-35.63127,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663175,Calotis glandulosa,148.66326,-35.62872,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663174,Calotis glandulosa,148.66332,-35.62878,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663163,Calotis glandulosa,148.66337,-35.63107,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SDMPI0061052,Calotis glandulosa,148.6633714,-35.63107991,NA,NA,Asteraceae,NA,NA,NA,"Cave Creek, in vicinity of walking track Specified Reserve: Kosciuszko NP",NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SJJSI0663176,Calotis glandulosa,148.66338,-35.62865,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663162,Calotis glandulosa,148.66349,-35.62865,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663177,Calotis glandulosa,148.6635,-35.62852,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SDMPI0061051,Calotis glandulosa,148.6635306,-35.62863458,NA,NA,Asteraceae,NA,NA,NA,Cave Creek Specified Reserve: Kosciuszko NP,NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SJJSI0663151,Calotis glandulosa,148.6636,-35.8687,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
da5151fa-de0c-49b2-a592-f896e533f9f7,CANB 530937.1,Calotis glandulosa,148.6636,-35.6994,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Kosciuszko National Park. About 1 km south of Old Currago Hut along closed access trail, Currago Plain.",50,New South Wales,2000,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663139,Calotis glandulosa,148.66391,-35.87413,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
8d819463-4ede-4e52-ae9b-c524c1d770e9,NSW 568503,Calotis glandulosa,148.664,-35.6808,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Approx. 400 m N of Old Currango Homestead, adjacent to the access track (old).",10000,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663178,Calotis glandulosa,148.66431,-35.62782,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663140,Calotis glandulosa,148.66461,-35.87419,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663179,Calotis glandulosa,148.66498,-35.62738,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663180,Calotis glandulosa,148.66508,-35.62631,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663147,Calotis glandulosa,148.66515,-35.86971,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,NSW568503,Calotis glandulosa,148.6653857,-35.67928107,NA,NA,Asteraceae,NA,NA,NA,"Approx. 400 m N of Old Currango Homestead, adjacent to the access track (old).",NA,NA,1998,NA,NA,NA,NA,BioNet
NA,SJJSI0663148,Calotis glandulosa,148.66548,-35.86937,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663181,Calotis glandulosa,148.66578,-35.62657,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663149,Calotis glandulosa,148.66579,-35.86909,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663182,Calotis glandulosa,148.6661,-35.62659,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663150,Calotis glandulosa,148.66637,-35.8687,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
fb85cdc2-4e30-43d7-a062-eec0a49c3d29,CANB 510030.1,Calotis glandulosa,148.6667,-33.7317,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Kosciuszko National Park, ca 400 m N of Old Currango Homestead adjacent to the access track (old)",50,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663183,Calotis glandulosa,148.66714,-35.62575,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,NSW568506,Calotis glandulosa,148.667898,-36.23178364,NA,NA,Asteraceae,NA,NA,NA,"'Rocky Plains North' Station, near Lake Eucumbene.",NA,NA,1972,NA,NA,NA,NA,BioNet
NA,SJJSI0663141,Calotis glandulosa,148.66963,-35.87142,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663146,Calotis glandulosa,148.6698,-35.87054,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
f4452f9f-043c-4ca8-81be-57c3303a20cf,NSW 568506,Calotis glandulosa,148.67,-36.23,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"'Rocky Plains North' Station, near Lake Eucumbene.",10000,New South Wales,1972,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SIXRI1217282,Calotis glandulosa,148.6729,-36.503064,NA,NA,Asteraceae,NA,NA,NA,"TSR north of Snowy River Way c 8 km E of Barry Way, c. 200m in from road.",NA,NA,2016,NA,NA,NA,NA,BioNet
b85bc1f4-bbbb-4bb4-8065-088a712d9359,NSW 991126,Calotis glandulosa,148.673,-36.503,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"A Travelling Stock Reserve north of Snowy Valley Way, east of Guises Range, between Dalgety and Jindabyne.",NA,New South Wales,2016,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SPJGI2766572,Calotis glandulosa,148.6730556,-35.695,NA,NA,Asteraceae,NA,NA,NA,Currango Plain,NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SPJGI3580698,Calotis glandulosa,148.6740357,-35.61840465,NA,NA,Asteraceae,NA,NA,NA,"N side of track between Coolamon homestead and Blue Waterholes, 6.8km E of Long Plain Road on small rise before 2nd grassy plain",NA,NA,2008,NA,NA,NA,NA,BioNet
NA,SJJSI0663164,Calotis glandulosa,148.67408,-35.61868,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
