id,catalogNumber,scientificName,longitude,latitude,scientificNameOriginal,rank,family,genus,species,subspecies,locality,coordinateUncertaintyInMetres,state,year,basisOfRecord,outlierForLayer,taxonIdentificationIssue,locationQuality,dataProvider
NA,SPJGI4982972,Calotis glandulosa,148.7333969,-36.04779714,NA,NA,Asteraceae,NA,NA,NA,Adaminaby Old Cemetery LOCATION DETAILS: Shores of Eucumbene,NA,NA,1999,NA,NA,NA,NA,BioNet
NA,SPJGI4982913,Calotis glandulosa,148.7333969,-36.04779714,NA,NA,Asteraceae,NA,NA,NA,Adaminaby Old Cemetery LOCATION DETAILS: Shores of Eucumbene,NA,NA,1997,NA,NA,NA,NA,BioNet
NA,SPJGI5059160,Calotis glandulosa,148.737873,-36.53630474,NA,NA,Asteraceae,NA,NA,NA,"Beloka Cemetery (SJCem6) LOCATION DETAILS: On road from Dalgety-Jindabyne, 10 km SW of Dalgety Area in ha: 4",NA,NA,1992,NA,NA,NA,NA,BioNet
NA,SPJGI4986073,Calotis glandulosa,148.737873,-36.53630474,NA,NA,Asteraceae,NA,NA,NA,Beloka Cemetery LOCATION DETAILS: 9km SW of Dalgety Area in ha: 4,NA,NA,1995,NA,NA,NA,NA,BioNet
NA,SPJGI4986151,Calotis glandulosa,148.737873,-36.53630474,NA,NA,Asteraceae,NA,NA,NA,Beloka Cemetery LOCATION DETAILS: 9km SW of Dalgety Area in ha: 4,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SPJGI4986192,Calotis glandulosa,148.737873,-36.53630474,NA,NA,Asteraceae,NA,NA,NA,Beloka Cemetery LOCATION DETAILS: 9km SW of Dalgety Area in ha: 4,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SPJGI4986000,Calotis glandulosa,148.737873,-36.53630474,NA,NA,Asteraceae,NA,NA,NA,Beloka Cemetery LOCATION DETAILS: 9km SW of Dalgety Area in ha: 4,NA,NA,1995,NA,NA,NA,NA,BioNet
NA,SPJGI4851842,Calotis glandulosa,148.737873,-36.53630474,NA,NA,Asteraceae,NA,NA,NA,Beloka Cemetery (MonAR03) LOCATION DETAILS: 9 km south west of Dalgety Area in ha: 4,NA,NA,1992,NA,NA,NA,NA,BioNet
NA,SPJGI2412454,Calotis glandulosa,148.7405414,-36.53514259,NA,NA,Asteraceae,NA,NA,NA,9 km SW of Dalgety in the middle of the cemetery.,NA,NA,1991,NA,NA,NA,NA,BioNet
NA,8518-HOR,Calotis glandulosa,148.7405629,-36.53514848,NA,NA,Asteraceae,NA,NA,NA,"Beloka cemetry; Beloka, west of Dalgety. Site 356 Monaro Grassland Survey Specified Map No: 8624",NA,NA,1991,NA,NA,NA,NA,BioNet
0ea3246d-0d60-4550-9692-7d8e164e0f57,NSW 275575,Calotis glandulosa,148.743,-36.5386,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Bemboka Cemetery Bemboka, west of Dalgety.",50,New South Wales,1991,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
c20b5317-aa51-4e4b-9c66-761e60a085e3,MEL 0287195A,Calotis glandulosa,148.7439,-36.5381,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Boloko [=Beloka] cemetery.,1000,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
907048d3-3601-4b43-b637-142d68ab1dc9,NSW 369556,Calotis glandulosa,148.744,-36.5381,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Boloko cemetery. Nearest place name Beloka. [Note spelling],50,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
c1881113-c742-4fe9-be43-7ca13db501b0,NSW 369557,Calotis glandulosa,148.744,-36.5381,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Boloko cemetery. Nearest place name Beloka. [Note spelling],50,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,NSW275575,Calotis glandulosa,148.7445686,-36.53706185,NA,NA,Asteraceae,NA,NA,NA,"Bemboka Cemetery Bemboka, west of Dalgety.",NA,NA,1991,NA,NA,NA,NA,BioNet
NA,SIXRI1216684,Calotis glandulosa,148.744733,-36.536982,NA,NA,Asteraceae,NA,NA,NA,"Boloko TSR, slope c. 300m SE of church",NA,NA,2016,NA,NA,NA,NA,BioNet
18710f05-2a16-4f9e-865a-b2d2178ecab3,NSW 991125,Calotis glandulosa,148.745,-36.537,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Beloka Travelling Stock Reserve, c. 300m SE of church, between Dalgety and Jindabyne.",NA,New South Wales,2016,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,NSW369556,Calotis glandulosa,148.7451241,-36.53650629,NA,NA,Asteraceae,NA,NA,NA,Boloko cemetery. Nearest place name Beloka. [Note spelling],NA,NA,1994,NA,NA,NA,NA,BioNet
NA,NSW369557,Calotis glandulosa,148.7451241,-36.53650629,NA,NA,Asteraceae,NA,NA,NA,Boloko cemetery. Nearest place name Beloka. [Note spelling],NA,NA,1994,NA,NA,NA,NA,BioNet
NA,SPJGI4902622,Calotis glandulosa,148.7478005,-36.36016984,NA,NA,Asteraceae,NA,NA,NA,Kosciuszko Road road reserve (opposite Glenrowan entrance) 1 ha site LOCATION DETAILS: between 0.5 and 0.3km West of Iron Pot Creek Bridge,NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SJJSI0663125,Calotis glandulosa,148.74893,-36.0879,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI2458640,Calotis glandulosa,148.7499889,-36.35923085,NA,NA,Asteraceae,NA,NA,NA,"TSR 34 at Ironpot Creek S-E of highway, c. 6km west of Berridale (between Berridale & Jindabyne)",NA,NA,1998,NA,NA,NA,NA,BioNet
ef8a8f9f-ed1e-4d5c-8c82-4cd180f46065,CBG 8600467.1,Calotis glandulosa,148.75,-36.35,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Varneys Range, 21.2 km E of Jindabyne on the Jindabyne-Berridale road.",1000,New South Wales,1986,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663124,Calotis glandulosa,148.75007,-36.08812,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663123,Calotis glandulosa,148.75012,-36.08828,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI4898425,Calotis glandulosa,148.7559233,-36.52936998,NA,NA,Asteraceae,NA,NA,NA,Dalgety to Beloco Road road reserve,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SJJSI0663126,Calotis glandulosa,148.7566,-36.08894,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663127,Calotis glandulosa,148.75854,-36.08981,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
37823771-ae43-45a3-a42f-286c6d98251f,MEL 0258145A,Calotis glandulosa,148.7597,-35.9064,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Adaminaby to Yaouk road through 'Fontenoy', 10 km directly N of Adaminaby.  Grid Ref: 6 588 60 250.",1000,New South Wales,1996,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663128,Calotis glandulosa,148.76069,-36.09107,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663129,Calotis glandulosa,148.76597,-36.0941,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
81887e72-8569-42d1-a52e-b486eee09118,CANB 526253.1,Calotis glandulosa,148.7667,-36.25,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"14 km N of Berridale on Adaminaby Road, Travelling Stock Reserve 20, roadside paddock 2 km NW of 'Yambirika'.",1000,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
86968b55-daf7-4d74-8c84-47b1edfd5a1b,CANB 644384.1,Calotis glandulosa,148.7667,-35.9583,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,'Rockleigh' entrance track 600 m from Adaminaby-Yaouk Road.,200,New South Wales,1996,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
0b5fed40-3425-4782-8fd2-429cc0259bd2,CANB 644383.1,Calotis glandulosa,148.7667,-35.95,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Yaouk to Adaminaby Road, 'Rockleigh', 100 m N of entrance to 'Milroy'.",1000,New South Wales,1996,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
ddc6cf14-8d4b-4c21-a64d-b6506287fa8c,CBG 9612879.1,Calotis glandulosa,148.7667,-35.9083,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Adaminaby to Yaouk road through `Fontenoy', 10 km directly N of Adaminaby. Grid ref.: 6 588 60 250",1000,New South Wales,1996,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,NSW500635,Calotis glandulosa,148.7678881,-35.90678017,NA,NA,Asteraceae,NA,NA,NA,"Adaminaby to Yaouk road through `Fontenoy', 10 km directly N of Adaminaby. Grid ref.: 6 588 60 250",NA,NA,1996,NA,NA,NA,NA,BioNet
7e603ad9-2a03-46d2-838a-6fa5c7bdb133,NSW 500635,Calotis glandulosa,148.77,-35.9083,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Adaminaby to Yaouk road through `Fontenoy', 10 km directly N of Adaminaby. Grid ref.: 6 588 60 250",1000,New South Wales,1996,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663110,Calotis glandulosa,148.7713,-36.10374,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663109,Calotis glandulosa,148.77136,-36.10372,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663108,Calotis glandulosa,148.7715,-36.10368,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663107,Calotis glandulosa,148.77175,-36.10403,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663111,Calotis glandulosa,148.77181,-36.10353,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663119,Calotis glandulosa,148.77181,-36.10002,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663120,Calotis glandulosa,148.77187,-36.09984,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663106,Calotis glandulosa,148.77191,-36.10392,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663112,Calotis glandulosa,148.77201,-36.10349,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663133,Calotis glandulosa,148.77201,-36.10028,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI5056593,Calotis glandulosa,148.7720143,-36.10020163,NA,NA,Asteraceae,NA,NA,NA,Wallace Island freehold (site 4) LOCATION DETAILS: Eastern Lake Eucumbene,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SJJSI0663121,Calotis glandulosa,148.77206,-36.09925,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663118,Calotis glandulosa,148.77216,-36.0996,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663113,Calotis glandulosa,148.77217,-36.10341,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663122,Calotis glandulosa,148.77218,-36.09929,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663117,Calotis glandulosa,148.7722,-36.09959,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663105,Calotis glandulosa,148.77228,-36.10383,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663114,Calotis glandulosa,148.77252,-36.10344,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663103,Calotis glandulosa,148.77254,-36.10348,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663104,Calotis glandulosa,148.77256,-36.10363,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663116,Calotis glandulosa,148.77262,-36.09964,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663115,Calotis glandulosa,148.77279,-36.09961,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663101,Calotis glandulosa,148.77338,-36.10471,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663102,Calotis glandulosa,148.7736,-36.10464,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663100,Calotis glandulosa,148.77429,-36.10496,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663099,Calotis glandulosa,148.7743,-36.10472,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663098,Calotis glandulosa,148.77475,-36.10464,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663097,Calotis glandulosa,148.7749,-36.10463,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663096,Calotis glandulosa,148.7751,-36.10457,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,NSW66364,Calotis glandulosa,148.775294,-35.94960885,NA,NA,Asteraceae,NA,NA,NA,"Borders of Cooleman Plain, near Kiandra. Currango sheet 660 020.",NA,NA,1962,NA,NA,NA,NA,BioNet
NA,SJJSI0663095,Calotis glandulosa,148.77531,-36.10482,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663085,Calotis glandulosa,148.77758,-36.10451,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI5056529,Calotis glandulosa,148.7776679,-36.10462509,NA,NA,Asteraceae,NA,NA,NA,Wallace Island freehold (site 3) LOCATION DETAILS: Eastern Lake Eucumbene,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SJJSI0663131,Calotis glandulosa,148.77767,-36.10471,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663092,Calotis glandulosa,148.77815,-36.10414,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663093,Calotis glandulosa,148.77816,-36.10388,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663094,Calotis glandulosa,148.77823,-36.10341,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663086,Calotis glandulosa,148.77834,-36.10433,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663091,Calotis glandulosa,148.77917,-36.10407,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663087,Calotis glandulosa,148.77921,-36.10418,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663088,Calotis glandulosa,148.77923,-36.1041,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663090,Calotis glandulosa,148.77936,-36.10394,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663132,Calotis glandulosa,148.77987,-36.10459,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI5056470,Calotis glandulosa,148.7798888,-36.10459211,NA,NA,Asteraceae,NA,NA,NA,Wallace Island freehold (site 2) LOCATION DETAILS: Eastern Lake Eucumbene,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SJJSI0663089,Calotis glandulosa,148.77994,-36.10409,NA,NA,Asteraceae,NA,NA,NA,Wallace Island,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,STOE12050700,Calotis glandulosa,148.7800797,-35.99131273,NA,NA,Asteraceae,NA,NA,NA,North east face of Water tower land,NA,NA,2012,NA,NA,NA,NA,BioNet
NA,SPJGI4991951,Calotis glandulosa,148.7800797,-35.99131278,NA,NA,Asteraceae,NA,NA,NA,"Snowy River Shire LEP Crown Land Investigation (Site 2) Near Water Reservoir LOCATION DETAILS: On crest of hill overlooking Adaminaby, around reservoir",NA,NA,2012,NA,NA,NA,NA,BioNet
NA,SPJGI4952137,Calotis glandulosa,148.7805898,-36.00758555,NA,NA,Asteraceae,NA,NA,NA,"Happy Valley freehold LOCATION DETAILS: Happy Valley, South of Adaminaby Cemetery on Yens Cove Road (West-facing ridge overlooking homestead)",NA,NA,1996,NA,NA,NA,NA,BioNet
NA,SPJGI4900461,Calotis glandulosa,148.7806632,-36.00591677,NA,NA,Asteraceae,NA,NA,NA,"Happy Valley road reserve LOCATION DETAILS: Roadside adjacent to Happy Valley, South of Adaminaby",NA,NA,2000,NA,NA,NA,NA,BioNet
NA,STOE12050702,Calotis glandulosa,148.7814042,-35.99250102,NA,NA,Asteraceae,NA,NA,NA,Approximately 50m SE of water tanks,NA,NA,2012,NA,NA,NA,NA,BioNet
NA,SPJGI2458769,Calotis glandulosa,148.7821038,-36.25238886,NA,NA,Asteraceae,NA,NA,NA,"14km North Berridale on Adaminaby Road TSR 20 - Roadside paddock 2 km NW ""Yambirika'",NA,NA,1998,NA,NA,NA,NA,BioNet
NA,SJJSI0740475,Calotis glandulosa,148.7826779,-35.99380071,NA,NA,Asteraceae,NA,NA,NA,DP729876 - section of this lot closest to the Adaminabby STP site.,NA,NA,2017,NA,NA,NA,NA,BioNet
65032d14-642a-48f1-82fc-b4b8517f02a6,CBG 8001872.1,Calotis glandulosa,148.7833,-36.35,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Varney's Range, 8 km from Berridale towards Jindabyne.",1000,New South Wales,1974,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
a970b62d-047a-41a3-ada4-192088869cac,CBG 8001870.1,Calotis glandulosa,148.7833,-36.35,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Varney's Range, 8 km from Berridale towards Jindabyne.",1000,New South Wales,1974,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
4fdd741a-81e2-4586-9ee4-480c3b36a7bd,MEL 0117589A,Calotis glandulosa,148.7833,-36.35,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Varneys Range, 8 km from Berridale towards Jindabyne.",10000,New South Wales,1988,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
41fd58ac-6ae9-4b94-8d99-9f666713e6a7,CBG 8001972.1,Calotis glandulosa,148.7833,-36.35,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Varney's Range, N side of road between Jindabyne and Berridale.",1000,New South Wales,1980,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
bcd84231-1d35-4935-903d-6b560fe8a4f6,CBG 8800384.1,Calotis glandulosa,148.7833,-36.35,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Varneys Range, 8 km from Berridale towards Jindabyne, roadside cutting.",1000,New South Wales,1988,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,951,Calotis glandulosa,148.7845573,-36.34845904,NA,NA,Asteraceae,NA,NA,NA,"8km from Berridale, Barneys Range, towards Jindabyne Specified Map No: 8625",NA,NA,1974,NA,NA,NA,NA,BioNet
NA,SPJGI4982847,Calotis glandulosa,148.7866672,-36.00058999,NA,NA,Asteraceae,NA,NA,NA,"Adaminaby New Cemetery LOCATION DETAILS: West of Cemetery Road, South of Snowy Mountains Highway, east of Adaminaby Area in ha: <4",NA,NA,1995,NA,NA,NA,NA,BioNet
NA,SPJGI4985861,Calotis glandulosa,148.7875009,-35.99918932,NA,NA,Asteraceae,NA,NA,NA,"Before Adaminaby Cemetery TSR (no. 10) LOCATION DETAILS: 1.5km east of Adaminaby, SW corner of junction between Cemetery Road and Snowy Mountains Highway Area in ha: 10?",NA,NA,1995,NA,NA,NA,NA,BioNet
NA,SPJGI4983053,Calotis glandulosa,148.7886668,-36.00169602,NA,NA,Asteraceae,NA,NA,NA,"Adaminaby Saleyards TSR (no. 9) LOCATION DETAILS: 1.5km east of Adaminaby. Eastern corner of junction of Snowy Mountains Highway and Cemetery Road, opposite cemetery Area in ha: 8? (AR), 60? (BJ)",NA,NA,1995,NA,NA,NA,NA,BioNet
NA,SPJGI5056399,Calotis glandulosa,148.7898421,-36.10264091,NA,NA,Asteraceae,NA,NA,NA,Wallace Island freehold (site 1) LOCATION DETAILS: Eastern Lake Eucumbene,NA,NA,2000,NA,NA,NA,NA,BioNet
NA,SJJSI0663130,Calotis glandulosa,148.79025,-36.1031,NA,NA,Asteraceae,NA,NA,NA,"Wallace Island, diffuse population around Eucalyptus lacrimans knoll",NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI4982783,Calotis glandulosa,148.7908645,-36.00076176,NA,NA,Asteraceae,NA,NA,NA,Adaminaby Golf Course (site 1) LOCATION DETAILS: East of TSRs at Adaminaby on road to Cooma,NA,NA,1997,NA,NA,NA,NA,BioNet
NA,SPJGI4946167,Calotis glandulosa,148.7930406,-35.99544671,NA,NA,Asteraceae,NA,NA,NA,"Adaminaby Hill freehold LOCATION DETAILS: 2km east of Adaminaby, West of Yaouk to Bolero Road Area in ha: 5?",NA,NA,1995,NA,NA,NA,NA,BioNet
NA,SJJSI0622479,Calotis glandulosa,148.8184624,-36.36660612,NA,NA,Asteraceae,NA,NA,NA,"34 Gungarlin Street, Berridale",NA,NA,2017,NA,NA,NA,NA,BioNet
de7ea739-9efa-4c6f-aea1-972a380f56b8,CBG 13321.1,Calotis glandulosa,148.8333,-36.3667,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Near Berridale.,10000,New South Wales,1955,PreservedSpecimen,el865,noIssue,TRUE,Australia's Virtual Herbarium
db802ef1-89f3-4571-99a8-bbc72046276a,CANB 271995.1,Calotis glandulosa,148.8333,-36.1667,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Lake Eucumbene.,NA,New South Wales,1971,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SPJGI2452125,Calotis glandulosa,148.8335704,-36.04923978,NA,NA,Asteraceae,NA,NA,NA,7.7km SE of Bolairo Road/ Snowy Mountains highway junction on road to Cooma,NA,NA,1999,NA,NA,NA,NA,BioNet
NA,952,Calotis glandulosa,148.8345512,-36.1651194,NA,NA,Asteraceae,NA,NA,NA,"Lake Eucumbene, nr W bank Specified Map No: 8625",NA,NA,1971,NA,NA,NA,NA,BioNet
NA,SPJGI2458949,Calotis glandulosa,148.8443119,-36.05763868,NA,NA,Asteraceae,NA,NA,NA,"Road verge between Adaminaby and Cooma on Snowy Mountians Highway, 2.8km S-E Caddigat Road and 1.5km west Bolaro Road",NA,NA,1998,NA,NA,NA,NA,BioNet
NA,SPJGI4972476,Calotis glandulosa,148.855009,-36.37553533,NA,NA,Asteraceae,NA,NA,NA,Gegedzerick TSR (no. 50) lower site (1 ha site) LOCATION DETAILS: Footslope below Church,NA,NA,2005,NA,NA,NA,NA,BioNet
NA,SPJGI4865295,Calotis glandulosa,148.865899,-36.44078859,NA,NA,Asteraceae,NA,NA,NA,Dutton TSR (no. 51) plot LOCATION DETAILS: TSR between Dalgety and Berridale,NA,NA,2005,NA,NA,NA,NA,BioNet
35cf1767-9898-4392-8e44-396a82d6bef0,CBG 9809044.1,Calotis glandulosa,148.8667,-36.15,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Intersection of Snowy Mtn Hwy and track to Frying Pan Creek, on the track side.",1000,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SPJGI5183949,Calotis glandulosa,148.8668325,-36.0741831,NA,NA,Asteraceae,NA,NA,NA,Snowy mtns hwy verge at Queensgallery TSR gate,NA,NA,2016,NA,NA,NA,NA,BioNet
NA,SPJGI5030369,Calotis glandulosa,148.868472,-36.07385632,NA,NA,Asteraceae,NA,NA,NA,"Queensgallery TSR (no. 7) LOCATION DETAILS: 13.5km from Adaminaby, north side of road",NA,NA,2002,NA,NA,NA,NA,BioNet
411feb8f-8fa8-400b-8ad9-7cc4b020c397,NE 102092,Calotis glandulosa,148.8754167,-36.09519444,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Snowy Mountains Highway, 16.3 km from Adaminiby towards Cooma",NA,New South Wales,2015,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,947,Calotis glandulosa,148.8787138,-36.10344348,NA,NA,Asteraceae,NA,NA,NA,"Between New Adaminaby & Cooma, nr Dry Plains turnoff Specified Map No: 8625",NA,NA,1958,NA,NA,NA,NA,BioNet
NA,SPJGI4898811,Calotis glandulosa,148.8810627,-36.10363189,NA,NA,Asteraceae,NA,NA,NA,"Dry Plain road reserve (site 1) LOCATION DETAILS: South side of Dry Plains Road, East of Snowy Mountains Highway. 100m from Highway turnoff.",NA,NA,1997,NA,NA,NA,NA,BioNet
